,Log_Return_Large_Forecast,Log_Return_Small_Forecast
2024-11-15,0.0023518374985950943,0.0020850892748847656
2024-11-18,0.00014580892608863428,0.0007256972503893741
2024-11-19,0.001369141804523581,0.00010112655806182046
2024-11-20,-0.0006596965414441878,0.00036613542927348456
2024-11-21,-0.0017882872169975705,0.00018727097126109782
2024-11-22,0.0009519411017118581,0.0003339550444318203
2024-11-25,0.00024231276885454888,6.449135063498802e-05
2024-11-26,0.0003545824984245774,0.00040045179352962284
2024-11-27,9.093721335022269e-05,0.0002726412211184465
2024-11-28,0.00025278747499165395,0.00029217791514284813
